time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-17T19:10:38.646Z,38.0705,38.1898,15.288,4.2,mb,49,79,0.803,0.94,us,us6000jpr3,2023-02-18T21:35:59.040Z,"6 km NW of Çelikhan, Turkey",earthquake,3.19,4.814,0.12,21,reviewed,us,us
2023-02-17T15:34:38.971Z,38.5844,39.6476,10,4.5,mb,49,50,1.144,0.94,us,us6000jppv,2023-02-20T04:25:31.040Z,"23 km SW of Kovanc?lar, Turkey",earthquake,4.13,1.245,0.106,26,reviewed,us,us
2023-02-17T14:58:56.320Z,37.9449,36.3279,5.15,4.4,mb,45,63,0.364,0.54,us,us6000jpnr,2023-02-18T21:26:07.040Z,"17 km WSW of Göksun, Turkey",earthquake,2.52,4.932,0.123,19,reviewed,us,us
2023-02-17T00:35:57.301Z,39.1579,40.1603,2.075,4.4,mb,59,46,0.898,1.14,us,us6000jphu,2023-02-20T04:29:48.040Z,"10 km SE of Yayladere, Turkey",earthquake,1.99,5.371,0.075,52,reviewed,us,us
2023-02-16T19:47:49.648Z,36.1764,35.7911,10,5.2,mww,136,59,1.47,0.93,us,us6000jpff,2023-02-20T21:19:01.900Z,"22 km W of Uzunba?, Turkey",earthquake,5.93,0.861,0.052,35,reviewed,us,us
2023-02-16T16:38:32.216Z,37.9225,37.5073,10,4.1,mb,34,83,0.637,0.48,us,us6000jpee,2023-02-16T18:19:48.040Z,"7 km SE of Nurhak, Turkey",earthquake,1.7,1.928,0.302,3,reviewed,us,us
2023-02-16T14:45:42.064Z,38.2035,37.8096,10,4.5,mb,31,71,0.979,1.15,us,us6000jpdx,2023-02-20T04:35:31.040Z,"14 km NNW of Do?an?ehir, Turkey",earthquake,2.9,1.91,0.108,25,reviewed,us,us
2023-02-16T11:16:23.422Z,35.9277,35.768,10,4.8,mww,187,46,1.7,0.79,us,us6000jpd5,2023-02-20T04:41:23.040Z,"26 km W of Yaylada??, Turkey",earthquake,3.58,1.771,0.098,10,reviewed,us,us
2023-02-16T05:18:57.585Z,38.0947,38.5702,16.14,4.3,mb,53,66,0.682,0.99,us,us6000jpaw,2023-02-16T06:07:15.040Z,"7 km NNW of Sincik, Turkey",earthquake,3.69,5.566,0.101,28,reviewed,us,us
2023-02-15T23:43:38.943Z,37.3475,36.8589,13.193,4,mb,22,109,0.33,0.96,us,us6000jp9e,2023-02-16T00:14:04.040Z,"22 km NNE of Nurda??, Turkey",earthquake,3.4,1.75,0.195,7,reviewed,us,us
2023-02-15T22:25:58.228Z,38.0555,36.6113,5.561,4.1,mb,24,52,0.383,0.68,us,us6000jp8t,2023-02-15T22:43:04.040Z,"10 km ENE of Göksun, Turkey",earthquake,2.98,11.207,0.114,22,reviewed,us,us
